系統編號,英文名稱,中文名稱,圖片,備註,更新時間
3192416,infinite series,無窮級數,,,2017/7/24
3192417,infinite set,無限集,,,2017/7/24
3192418,infinity,無窮；無限大,,,2017/7/24
3192419,inflection point　,反曲點；拐點,,,2017/7/24
3192420,initial point,[起]始點,,,2017/7/24
3192421,initial side of angle,角的始邊,,,2017/7/24
3192422,inner division point,內分點,,,2017/7/24
3192423,inner product,內積,,,2017/7/24
3192424,inner product formula,內積公式,,,2017/7/24
3192425,inradius,內切圓半徑,,,2017/7/24
3192426,instantaneous rate of change　,瞬時變化率　,,,2017/7/24
3192427,instantaneous velocity,瞬時速度,,,2017/7/24
3192428,integer,整數　,,,2017/7/24
3192429,integral sign　,積分符號　,,,2017/7/24
3192430,integrand　,被積分函數；被積分式,,,2017/7/24
3192431,intercept,截距,,,2017/7/24
3192432,intercept form,截距式,,,2017/7/24
3192433,interest rate　　　　　　　　　　　,利率　,,,2017/7/24
3192434,interior,內部,,,2017/7/24
3192435,interior angle,內角,,,2017/7/24
3192436,intermediate value theorem　,中間值定理,,,2017/7/24
3192437,internal point of division,內分點,,,2017/7/24
3192438,interpolation,插值[法]；內插[法],,,2017/7/24
3192439,interpolation polynomial,插值多項式　,,,2017/7/24
3192440,interquartile range,四分位[數間]距,,,2017/7/24
3192441,intersection,相交；交集,,,2017/7/24
3192442,interval,區間,,,2017/7/24
3192443,inverse function,反函數,,,2017/7/24
3192444,inverse matrix　,逆方陣；反矩陣,,,2017/7/24
3192445,inverse vector,反向量；逆向量,,,2017/7/24
3192446,irrational number,無理數,,,2017/7/24
3192447,irreducible fraction,最簡分數,,,2017/7/24
3192448,kilogram,公斤,,,2017/7/24
3192449,Lagrange interpolation formula,Lagrange插值公式,,,2017/7/24
3192450,Lagrange interpolation polynomial,Lagrange插值多項式,,,2017/7/24
3192451,Laplace classical probability,Laplace古典機率,,,2017/7/24
3192452,Laplace probability,Laplace機率,,,2017/7/24
3192453,last term,末項,,,2017/7/24
3192454,latitude,緯度,,,2017/7/24
3192455,latus rectum,正焦弦,,,2017/7/24
3192456,law of cosines,餘弦定律　,,,2017/7/24
3192457,law of exponent　　　　　　,指數律,,,2017/7/24
3192458,law of logarithm　　　　　　　　,對數律,,,2017/7/24
3192459,law of sine,正弦定律　,,,2017/7/24
3192461,leading coefficient,領導係數；首項係數,,,2017/7/24
3192462,leading term,首項,,,2017/7/24
3192463,least common multiple,最小公倍數,,,2017/7/24
3192464,least squares method,最小平方法,,,2017/7/24
3192465,left handed limit　,左極限　,,,2017/7/24
3192466,left limit　,左極限　,,,2017/7/24
3192467,left-hand limit　,左極限　,,,2017/7/24
3192468,length,長度,,,2017/7/24
3192469,length of tangent,切線的長；切距,,,2017/7/24
3192470,Leonhard Euler(1707-1783),尤拉,,,2017/7/24
3192471,less than cumulative frequency distribution,以下累積次數分布；以下累積次數分配,,,2017/7/24
3192472,limit,極限,,,2017/7/24
3192473,line,線；直線,,,2017/7/24
3192474,line of intersection,交線,,,2017/7/24
3192475,line permutation,直線排列,,,2017/7/24
3192476,linear arrangement,直線排列,,,2017/7/24
3192477,linear correlation,線性相關；直線相關,,,2017/7/24
3192478,linear function,線性函數；一次函數；線型函數,,,2017/7/24
3192479,linear inequality,線性不等式,,,2017/7/24
3192480,linear interpolation　　　　　　　,線性插值[法],,,2017/7/24
3192481,linear programming　,線性規劃,,,2017/7/24
3192482,liter,公升,,,2017/7/24
3192483,local maximum,[局部]極大[值],,,2017/7/24
3192484,local minimum,[局部]極小[值],,,2017/7/24
3192485,logarithmic function,對數函數,,,2017/7/24
3192486,logarithm　　　　　　　　　　　,對數,,,2017/7/24
3192487,logic,理則學；邏輯[學],,,2017/7/24
3192488,long division,長除法,,,2017/7/24
3192489,longitude,經度　,,,2017/7/24
3192490,lower limit　,下極限,,,2017/7/24
3192491,lower sum　,下和　,,,2017/7/24
3192492,main diagonal　,主對角線　,,,2017/7/24
3192493,major axis,長軸,,,2017/7/24
3192494,mantissa　　　　　　　　　　　　,尾數,,,2017/7/24
3192495,marginal cost　,邊際成本　,,,2017/7/24
3192496,mathematical expectation,數學期望值,,,2017/7/24
3192497,mathematical induction,數學歸納法,,,2017/7/24
3192498,matrix,矩陣,,,2017/7/24
3192499,matrix of coefficients,係數矩陣　,,,2017/7/24
3192500,maximal value,最大[值] ；極大[值],,,2017/7/24
3192501,maximum,最大[值] ；極大[值],,,2017/7/24
3192502,maximum value,最大[值] ；極大[值],,,2017/7/24
3192503,mean,平均；平均值；平均數,,,2017/7/24
3192504,mean value theorem　,均值定理,,,2017/7/24
3192505,median,中位數；中線,,,2017/7/24
3192506,meter,公尺,,,2017/7/24
3192507,method of detached coefficients,分離係數法,,,2017/7/24
3192508,method of least squares　,最小平方法　,,,2017/7/24
3192509,method of slicing,切片法　,,,2017/7/24
3192510,mid-point,中點　,,,2017/7/24
3192511,mid-point method　,中點法,,,2017/7/24
3192512,middle point,中點,,,2017/7/24
3192513,midpoint formula,中點公式　,,,2017/7/24
3192514,milliliter,公撮；毫升,,,2017/7/24
3192515,millimeter,毫米,,,2017/7/24
3192516,minimal value,最小[值]； 極小[值],,,2017/7/24
3192517,minimum,最小[值]； 極小[值],,,2017/7/24
3192518,minimum value,最小[值]； 極小[值],,,2017/7/24
3192519,minor axis,短軸,,,2017/7/24
3192520,minuend,被減數,,,2017/7/24
3192521,minus,減；負的,,,2017/7/24
3192522,minus sign,減號；負號,,,2017/7/24
3192523,minute,分,,,2017/7/24
3192524,mode,?數；方式,,,2017/7/24
3192525,modulus　　　　　　　　　　　,模；模數；絕對值；尺度,,,2017/7/24
3192526,monomial,單項式；單項的,,,2017/7/24
3192527,more than cumulative frequency distribution,以上累積次數分布；以上累積次數分配,,,2017/7/24
3192528,multiple,倍數；倍式；多重,,,2017/7/24
3192529,multiplicand,被乘數；被乘式,,,2017/7/24
3192530,multiplication,乘法,,,2017/7/24
3192531,multiplication rule,乘法原理；乘法法則,,,2017/7/24
3192532,multiplier,乘數；乘式；乘子,,,2017/7/24
3192533,multiplier rule,乘數法則,,,2017/7/24
3192534,multivariate polynomial,多元多項式,,,2017/7/24
3192535,mutually exclusive event,互斥事件,,,2017/7/24
3192536,n-th root,n次方根,,,2017/7/24
3192537,natural logarithm,自然對數,,,2017/7/24
3192538,natural number,自然數,,,2017/7/24
3192539,negative angle identity　　　,負角關係式　,,,2017/7/24
3192540,negative angle　　　　　　　　　,負角,,,2017/7/24
3192541,negative correlation,負相關,,,2017/7/24
3192542,negative integer,負整數,,,2017/7/24
3192543,Newton's method　,牛頓法,,,2017/7/24
3192544,Newton's rational root theorem,牛頓有理根判別定理,,,2017/7/24
3192545,"Newton, Isaac (1643-1727)",牛頓,,,2017/7/24
3192546,Niels Hernik Abel(1802-1829),阿貝爾,,,2017/7/24
3192547,nonnegative integer,非負整數,,,2017/7/24
3192548,normal curve,正規曲線,,,2017/7/24
3192549,normal distribution,常態分布；常態分配,,,2017/7/24
3192550,normal form,範式；正規形式；法線式,,,2017/7/24
3192551,normal line,法線,,,2017/7/24
3192552,normal vector,法向量,,,2017/7/24
3192553,null vector,零向量,,,2017/7/24
3192554,number line,數線,,,2017/7/24
3192555,numerator,分子,,,2017/7/24
3192556,objective function　,目標函數,,,2017/7/24
3192557,octant,卦限,,,2017/7/24
3192558,odd function,奇函數,,,2017/7/24
3192559,odd number,奇數,,,2017/7/24
3192560,ogive curve,肩形曲線,,,2017/7/24
3192561,one-to-one correspondence,一對一對應,,,2017/7/24
3192562,open interval,開區間,,,2017/7/24
3192563,opposite side　　　　　　　　　,對邊　,,,2017/7/24
3192564,optimal solution,最佳解,,,2017/7/24
3192565,optimization problem　,最佳化問題　,,,2017/7/24
3192566,ordered pair,有序偶；[有序]數對,,,2017/7/24
3192567,ordinal,順序的；序數,,,2017/7/24
3192568,ordinate,縱[坐]標,,,2017/7/24
3192569,origin　　　　　　　　　　　　,原點,,,2017/7/24
3192570,orthogonal,正交；直交,,,2017/7/24
3192571,orthogonal projection,正[交]射影,,,2017/7/24
3192572,parabola,拋物線,,,2017/7/24
3192573,parallel,平行,,,2017/7/24
3192574,parallel axiom,平行公設；平行公理,,,2017/7/24
3192575,parallelogram law,平行四邊形定律,,,2017/7/24
3192576,parallelogram theorem,平行四邊形定理,,,2017/7/24
3192577,parameter,參數；參變量,,,2017/7/24
3192578,parametric equation,參數方程[式],,,2017/7/24
3192579,parametric equation of line,直線參數式　,,,2017/7/24
3192580,partition　,分割,,,2017/7/24
3192581,Pascal triangle,巴斯卡三角形　,,,2017/7/24
3192582,"Pascal, Blaise (1623-1662)",巴斯卡,,,2017/7/24
3192583,percentile rank,百分等級,,,2017/7/24
3192584,periodic decimal,循環小數,,,2017/7/24
3192585,periodic function　　　　　　,週期函數,,,2017/7/24
3192586,period　　　　　　　　　　　　,週期,,,2017/7/24
3192587,permutation,排列；置換,,,2017/7/24
3192588,perpendicular,垂直[於],,,2017/7/24
3192589,pie chart,圓形圖,,,2017/7/24
3192590,plane,平面,,,2017/7/24
3192591,plane rectangular coordinate system,平面直角坐標系,,,2017/7/24
3192592,plus,加；加號；正的,,,2017/7/24
3192593,plus sign,加號；正號,,,2017/7/24
3192594,point,點,,,2017/7/24
3192595,point circle,點圓,,,2017/7/24
3192596,point of inflection(inflexion),反曲點；拐點,,,2017/7/24
